Match_date,teamName,homeAway,Ball Possession,Goal Attempts,Shots On,Shots Off,Blocked Shots,Free kick,Offsides,Throw Ins,Saves,Fouls Commited,Red Cards,Yellow Cards,Assists 1st Half,Assists 2nd Half,Ball Possession 1st Half,Ball Possession 2nd Half,Blockes Shots 1st Half,Blockes Shots 2nd Half,Corners,Corners 1st Half,Corners 2nd Half,Counter Attacks,Counter Attacks 1st Half,Counter Attacks 2nd Half,Crosses,Crosses 1st Half,Crosses 2nd Half,Fouls Commited 1st Half,Fouls Commited 2nd Half,Free kick 1st Half,Free kick 2nd Half,Goal Attempts 1st Half,Goal Attempts 2nd Half,Goal Kick,Goal Kick 1st Half,Goal Kick 2nd Half,Goals 1st Half,Goals 2nd Half,Offsides 1st Half,Offsides 2nd Half,Red Cards 1st Half,Red Cards 2nd Half,Saves 1st Half,Saves 2nd Half,Shots Off 1st Half,Shots Off 2nd Half,Shots On 1st Half,Shots On 2nd Half,Substitute,Substitute 1st Half,Substitute 2nd Half,Throw Ins 1st Half,Throw Ins 2nd Half,Treatment 1st Half,Treatment 2nd Half,Yellow Cards 1st Half,Yellow Cards 2nd Half,Result
Match date: 28-12-2022 / 22:00,MANCHESTER CITY,2,69,26,9,12,5,11,1,20,0,14,0,3,0,2,75,69,2,3,5,3,2,0,0,0,13,9,4,3,11,6,5,16,10,6,2,4,1,2,0,1,0,0,0,0,9,3,5,4,3,0,3,9,11,1,0,0,3,W
Match date: 30-12-2022 / 21:45,WEST HAM,1,63,20,5,8,7,5,0,28,3,9,0,1,0,0,62,63,3,4,8,4,4,0,0,0,29,15,14,3,6,3,2,9,11,6,3,3,0,0,0,0,0,0,2,1,4,4,2,3,2,0,2,18,10,1,0,0,1,L
Match date: 30-12-2022 / 21:45,BRENTFORD,2,37,9,6,2,1,9,0,13,5,5,0,0,1,0,38,37,0,1,1,0,1,0,0,0,7,1,6,3,2,3,6,4,5,12,5,7,2,0,0,0,0,0,2,3,0,2,4,2,4,0,4,7,6,1,3,0,0,W
Match date: 30-12-2022 / 22:00,LIVERPOOL,1,58,21,5,8,8,20,2,18,1,8,0,0,0,0,58,58,4,4,4,2,2,4,2,2,23,11,12,4,4,9,11,9,12,6,3,3,2,0,1,1,0,0,0,1,4,4,1,4,4,0,4,11,7,0,1,0,0,W
Match date: 30-12-2022 / 22:00,LEICESTER,2,42,7,2,3,2,10,5,14,5,15,0,1,1,0,42,42,1,1,5,3,2,5,2,3,14,6,8,7,8,5,5,2,5,11,7,4,1,0,2,3,0,0,1,4,0,3,1,1,3,1,2,7,7,2,0,0,1,L
Match date: 31-12-2022 / 14:30,WOLVERHAMPTON,1,46,10,3,1,6,13,1,18,5,11,0,1,0,0,47,46,4,2,7,2,5,2,2,0,16,6,10,5,6,4,9,5,5,6,2,4,0,0,1,0,0,0,2,3,0,1,1,2,5,0,5,9,9,1,4,1,0,L
Match date: 31-12-2022 / 14:30,MANCHESTER UTD,2,54,16,6,5,5,12,2,18,3,11,0,3,0,1,53,54,3,2,5,3,2,3,2,1,12,7,5,3,8,6,6,7,9,2,2,0,0,1,1,1,0,0,1,2,2,3,2,4,5,0,5,14,4,1,0,0,3,W
Match date: 31-12-2022 / 17:00,MANCHESTER CITY,1,74,13,3,4,6,16,3,25,0,13,0,3,1,0,68,74,2,4,7,3,4,0,0,0,32,14,18,8,5,7,9,5,8,1,0,1,1,0,1,2,0,0,0,0,2,2,1,2,3,0,3,9,16,3,3,3,0,D
Match date: 31-12-2022 / 17:00,EVERTON,2,26,2,1,0,1,16,2,9,2,14,0,4,0,1,32,26,0,1,1,0,1,1,0,1,6,3,3,5,9,9,7,0,2,6,2,4,0,1,2,0,0,0,0,2,0,0,0,1,4,0,4,4,5,0,6,2,2,D
Match date: 31-12-2022 / 17:00,NEWCASTLE,1,59,16,5,9,2,19,4,35,1,13,0,3,0,0,50,59,2,0,9,4,5,4,4,0,18,8,10,7,6,8,11,9,7,4,3,1,0,0,1,3,0,0,0,1,4,5,3,2,3,0,3,16,19,0,0,1,2,D
Match date: 31-12-2022 / 17:00,LEEDS,2,41,8,1,3,4,17,0,17,5,19,0,5,0,0,50,41,3,1,3,3,0,3,2,1,6,6,0,8,11,8,9,6,2,11,7,4,0,0,0,0,0,0,3,2,3,0,0,1,5,0,5,10,7,0,0,1,4,D
Match date: 31-12-2022 / 17:00,FULHAM,1,63,8,2,5,1,13,1,31,2,8,0,0,0,1,71,63,1,0,4,1,3,5,2,3,11,4,7,5,3,6,7,4,4,6,4,2,1,1,1,0,0,0,2,0,3,2,0,2,3,0,3,14,17,0,0,0,0,W
Match date: 31-12-2022 / 17:00,SOUTHAMPTON,2,37,9,3,4,2,9,0,30,1,13,0,1,0,0,29,37,1,1,4,2,2,7,4,3,10,5,5,6,7,6,3,6,3,7,4,3,0,1,0,0,0,0,0,1,3,1,2,1,5,0,5,12,18,0,2,0,1,L
Match date: 31-12-2022 / 17:00,BOURNEMOUTH,1,59,6,2,3,1,12,1,41,4,17,0,4,0,0,55,59,0,1,2,1,1,2,1,1,20,5,15,8,9,6,6,1,5,6,3,3,0,0,0,1,0,0,2,2,1,2,0,2,4,1,3,20,21,3,0,2,2,L
Match date: 31-12-2022 / 17:00,CRYSTAL PALACE,2,41,15,6,3,6,18,1,29,2,11,0,1,2,0,45,41,4,2,7,3,4,10,4,6,15,7,8,6,5,8,10,10,5,5,2,3,2,0,0,1,0,0,0,2,2,1,4,2,3,0,3,15,14,0,0,0,1,W
Match date: 31-12-2022 / 19:30,BRIGHTON,1,68,9,5,2,2,11,5,26,3,7,0,3,0,1,65,68,1,1,7,3,4,2,2,0,16,5,11,2,5,6,5,3,6,5,1,4,0,2,2,3,0,0,1,2,0,2,2,3,3,0,3,11,15,0,0,1,2,L
Match date: 31-12-2022 / 19:30,ARSENAL,2,32,14,7,3,4,12,0,13,3,11,0,3,0,1,35,32,4,0,4,4,0,2,1,1,5,4,1,6,5,4,8,8,6,8,2,6,2,2,0,0,0,0,2,1,1,2,3,4,4,0,4,6,7,0,0,2,1,W
Match date: 01-01-2023 / 16:00,TOTTENHAM,1,59,4,2,1,1,10,1,21,2,15,0,4,0,0,58,59,0,1,5,3,2,2,0,2,14,6,8,7,8,5,5,2,2,4,2,2,0,0,0,1,0,0,0,2,0,1,2,0,5,0,5,10,11,0,0,3,1,L
Match date: 01-01-2023 / 16:00,ASTON VILLA,2,41,13,4,4,5,16,0,20,2,10,0,3,0,2,42,41,1,4,3,0,3,0,0,0,7,2,5,5,5,7,9,3,10,7,3,4,0,2,0,0,0,0,2,0,2,2,0,4,5,0,5,11,9,3,2,0,3,W
Match date: 01-01-2023 / 18:30,NOTTINGHAM FOREST,1,28,12,5,4,3,16,2,21,1,16,0,2,0,1,20,28,1,2,1,0,1,8,5,3,15,5,10,9,7,6,10,3,9,4,2,2,0,1,0,2,0,0,1,0,0,4,2,3,3,0,3,10,11,0,0,1,1,D
Match date: 01-01-2023 / 18:30,CHELSEA,2,72,7,2,2,3,18,2,20,4,14,0,2,0,0,80,72,3,0,2,2,0,1,1,0,15,9,6,5,9,9,9,6,1,6,3,3,1,0,1,1,0,0,2,2,1,1,2,0,5,0,5,11,9,0,0,0,2,D
Match date: 02-01-2023 / 19:30,BRENTFORD,1,27,10,7,1,2,12,7,14,5,5,0,1,1,0,25,27,2,0,4,3,1,5,1,4,17,9,8,2,3,3,9,9,1,4,0,4,2,1,5,2,0,0,3,2,1,0,6,1,5,0,5,10,4,0,0,1,0,W
Match date: 02-01-2023 / 19:30,LIVERPOOL,2,73,16,6,2,8,12,4,28,5,8,0,3,0,1,75,73,4,4,9,3,6,2,2,0,32,15,17,2,6,7,5,7,9,4,3,1,0,1,1,3,0,0,5,0,0,2,3,3,4,0,4,12,16,0,0,1,2,L
Match date: 03-01-2023 / 21:45,LEICESTER,1,61,14,4,6,4,12,0,25,1,12,0,2,0,0,52,61,3,1,6,2,4,1,1,0,19,8,11,6,6,4,8,5,9,9,7,2,0,0,0,0,0,0,1,0,2,4,0,4,3,1,2,13,12,2,0,0,2,L
Match date: 03-01-2023 / 21:45,FULHAM,2,39,10,2,5,3,12,1,25,4,11,0,6,1,0,48,39,2,1,3,3,0,2,1,1,12,9,3,4,7,6,6,8,2,9,4,5,1,0,0,1,0,0,0,4,4,1,2,0,3,0,3,12,13,6,9,0,6,W
Match date: 03-01-2023 / 21:45,EVERTON,1,49,10,4,5,1,10,1,15,4,8,0,3,0,0,54,49,1,0,5,5,0,3,1,2,20,16,4,5,3,7,3,6,4,9,4,5,0,1,0,1,0,0,0,4,2,3,3,1,5,0,5,10,5,0,1,0,3,L
Match date: 03-01-2023 / 21:45,BRIGHTON,2,51,19,8,6,5,9,0,20,3,10,0,1,1,1,46,51,3,2,2,1,1,7,4,3,10,5,5,7,3,5,4,7,12,7,3,4,1,3,0,0,0,0,3,0,3,3,1,7,5,0,5,9,11,2,0,1,0,W
Match date: 03-01-2023 / 21:45,ARSENAL,1,67,17,4,7,6,20,1,13,1,10,0,4,0,0,63,67,3,3,5,0,5,4,2,2,16,5,11,8,2,10,10,7,10,5,2,3,0,0,1,0,0,0,1,0,3,4,1,3,1,0,1,9,4,0,3,3,1,D
Match date: 03-01-2023 / 21:45,NEWCASTLE,2,33,8,1,5,2,11,4,11,4,16,0,5,0,0,37,33,2,0,5,2,3,3,0,3,16,9,7,8,8,9,2,6,2,12,6,6,0,0,2,2,0,0,1,3,3,2,1,0,3,0,3,4,7,3,4,2,3,D
Match date: 03-01-2023 / 22:00,MANCHESTER UTD,1,59,18,6,6,6,9,0,12,4,13,0,0,1,2,69,59,2,4,6,1,5,2,0,2,19,10,9,8,5,6,3,5,13,3,2,1,1,2,0,0,0,0,0,4,2,4,1,5,5,1,4,6,6,2,3,0,0,W
Match date: 03-01-2023 / 22:00,BOURNEMOUTH,2,41,7,4,2,1,13,2,10,3,7,0,3,0,0,31,41,1,0,5,3,2,0,0,0,12,6,6,4,3,8,5,2,5,7,1,6,0,0,2,0,0,0,0,3,1,1,0,4,4,0,4,7,3,0,0,1,2,L
Match date: 04-01-2023 / 21:30,SOUTHAMPTON,1,62,8,0,6,2,16,1,30,0,14,0,2,0,0,54,62,0,2,6,1,5,0,0,0,23,5,18,8,6,11,5,3,5,7,5,2,0,0,0,1,0,0,0,0,3,3,0,0,5,1,4,14,16,5,3,1,1,L
Match date: 04-01-2023 / 21:30,NOTTINGHAM FOREST,2,38,11,1,8,2,15,0,15,0,16,0,2,1,0,46,38,0,2,2,2,0,2,0,2,14,9,5,11,5,8,7,7,4,11,5,6,1,0,0,0,0,0,0,0,6,2,1,0,5,0,5,9,6,0,4,2,0,W
Match date: 04-01-2023 / 21:45,LEEDS,1,63,14,6,6,2,21,3,23,0,11,0,3,1,1,61,63,1,1,8,3,5,2,1,1,21,9,12,4,7,10,11,4,10,13,6,7,1,1,1,2,0,0,0,0,1,5,2,4,4,0,4,11,12,0,0,2,1,D
Match date: 04-01-2023 / 21:45,WEST HAM,2,37,15,2,10,3,14,3,25,4,18,0,1,0,0,39,37,2,1,1,1,0,1,1,0,14,11,3,8,10,5,9,7,8,12,4,8,1,1,2,1,0,0,1,3,4,6,1,1,4,0,4,14,11,1,3,0,1,D
Match date: 04-01-2023 / 22:00,ASTON VILLA,1,56,10,3,3,4,16,1,18,2,6,0,1,0,1,46,56,0,4,7,2,5,1,0,1,23,4,19,2,4,8,8,2,8,6,4,2,0,1,0,1,0,0,1,1,1,2,1,2,4,0,4,7,11,0,0,0,1,D
Match date: 04-01-2023 / 22:00,WOLVERHAMPTON,2,44,7,3,2,2,7,4,14,2,12,0,3,1,0,54,44,0,2,8,6,2,2,0,2,12,9,3,6,6,2,5,2,5,9,4,5,1,0,2,2,0,0,1,1,0,2,2,1,5,0,5,7,7,3,0,2,1,D
Match date: 04-01-2023 / 22:00,CRYSTAL PALACE,1,47,19,4,9,6,10,1,12,2,11,0,1,0,0,45,47,4,2,10,5,5,0,0,0,20,11,9,4,7,7,3,9,10,6,3,3,0,0,0,1,0,0,1,1,3,6,2,2,3,0,3,7,5,0,0,0,1,L
Match date: 04-01-2023 / 22:00,TOTTENHAM,2,53,14,6,4,4,12,2,15,4,8,0,2,0,2,55,53,3,1,4,2,2,1,0,1,17,7,10,6,2,4,8,5,9,10,3,7,0,4,1,1,0,0,2,2,1,3,1,5,5,0,5,8,7,0,0,1,1,W
Match date: 05-01-2023 / 22:00,CHELSEA,1,47,8,2,4,2,10,2,15,1,9,0,2,0,0,47,47,2,0,3,2,1,0,0,0,11,5,6,4,5,6,4,4,4,7,3,4,0,0,1,1,0,0,0,1,1,3,1,1,5,2,3,7,8,5,0,0,2,L
Match date: 05-01-2023 / 22:00,MANCHESTER CITY,2,53,12,3,6,3,11,1,18,2,9,0,0,0,1,53,53,2,1,2,0,2,0,0,0,11,4,7,5,4,5,6,5,7,6,2,4,0,1,1,0,0,0,1,1,2,4,1,2,5,0,5,9,9,0,0,0,0,W
Match date: 12-01-2023 / 22:00,FULHAM,1,48,8,3,3,2,19,3,31,9,12,0,4,0,1,45,48,2,0,5,3,2,0,0,0,19,12,7,3,9,10,9,6,2,8,6,2,1,1,1,2,0,0,5,4,2,1,2,1,5,0,5,20,11,0,0,2,2,W
Match date: 12-01-2023 / 22:00,CHELSEA,2,52,20,10,3,7,15,3,13,1,16,1,3,0,0,55,52,6,1,7,4,3,1,0,1,14,9,5,9,7,4,11,14,6,2,1,1,0,1,1,2,0,1,1,0,3,0,5,5,5,0,5,7,6,0,1,1,2,L
Match date: 13-01-2023 / 22:00,ASTON VILLA,1,54,11,5,4,2,22,2,26,3,12,0,2,1,0,55,54,0,2,0,0,0,7,1,6,5,1,4,5,7,9,13,1,10,6,4,2,1,1,2,0,0,0,2,1,0,4,1,4,4,2,2,15,11,2,0,0,2,W
Match date: 13-01-2023 / 22:00,LEEDS,2,46,16,4,4,8,14,5,39,3,17,0,2,0,1,45,46,4,4,11,6,5,3,2,1,21,10,11,7,10,7,7,7,9,5,1,4,0,1,2,3,0,0,0,3,1,3,2,2,5,0,5,21,18,0,0,1,1,L
Match date: 14-01-2023 / 14:30,MANCHESTER UTD,1,30,8,4,1,3,7,6,13,0,15,0,3,0,2,32,30,1,2,1,0,1,8,3,5,6,2,4,5,10,4,3,4,4,3,2,1,0,2,3,3,0,0,0,0,1,0,2,2,5,0,5,7,6,2,1,0,3,W
Match date: 14-01-2023 / 14:30,MANCHESTER CITY,2,70,5,1,2,2,21,2,13,2,5,0,0,0,1,68,70,1,1,2,1,1,0,0,0,23,9,14,2,3,8,13,2,3,4,2,2,0,1,2,0,0,0,2,0,1,1,0,1,1,0,1,8,5,0,0,0,0,L
Match date: 14-01-2023 / 17:00,EVERTON,1,53,12,4,6,2,21,3,17,3,7,0,0,1,0,49,53,1,1,6,2,4,2,1,1,28,14,14,4,3,11,10,7,5,10,5,5,1,0,1,2,0,0,2,1,3,3,3,1,2,0,2,6,11,3,0,0,0,L
Match date: 14-01-2023 / 17:00,SOUTHAMPTON,2,47,13,5,2,6,10,2,15,3,19,0,3,0,1,51,47,3,3,4,2,2,3,1,2,8,4,4,9,10,5,5,6,7,10,5,5,0,2,2,0,0,0,2,1,1,1,2,3,5,0,5,7,8,0,0,1,2,W
Match date: 14-01-2023 / 17:00,BRIGHTON,1,62,16,9,3,4,17,4,21,2,8,0,1,0,2,65,62,2,2,7,4,3,10,7,3,16,11,5,6,2,8,9,6,10,4,2,2,0,3,2,2,0,0,0,2,1,2,3,6,5,0,5,12,9,3,0,1,0,W
Match date: 14-01-2023 / 17:00,LIVERPOOL,2,38,6,2,3,1,12,2,13,6,15,0,3,0,0,35,38,1,0,1,0,1,2,2,0,7,1,6,6,9,8,4,3,3,4,2,2,0,0,2,0,0,0,3,3,2,1,0,2,4,0,4,8,5,1,0,2,1,L
Match date: 14-01-2023 / 17:00,WOLVERHAMPTON,1,58,17,4,6,7,8,4,18,4,10,0,0,0,0,67,58,5,2,4,3,1,3,2,1,17,13,4,3,7,4,4,11,6,6,2,4,0,1,2,2,0,0,2,2,4,2,2,2,5,0,5,10,8,4,4,0,0,W
Match date: 14-01-2023 / 17:00,WEST HAM,2,42,16,4,4,8,14,1,23,3,7,0,2,0,0,33,42,2,6,3,0,3,2,0,2,32,9,23,4,3,5,9,4,12,4,3,1,0,0,0,1,0,0,2,1,0,4,2,2,2,0,2,12,11,0,0,0,2,L
Match date: 14-01-2023 / 17:00,NOTTINGHAM FOREST,1,39,14,5,4,5,13,2,15,1,11,0,1,0,2,46,39,1,4,3,2,1,6,1,5,17,10,7,5,6,7,6,5,9,5,2,3,0,2,1,1,0,0,1,0,2,2,2,3,4,0,4,6,9,3,1,0,1,W
Match date: 14-01-2023 / 17:00,LEICESTER,2,61,6,1,3,2,13,1,25,3,12,0,2,0,0,54,61,2,0,5,5,0,1,1,0,28,14,14,7,5,6,7,5,1,9,4,5,0,0,0,1,0,0,2,1,2,1,1,0,3,0,3,13,12,0,0,1,1,L
Match date: 14-01-2023 / 19:30,BRENTFORD,1,49,12,4,7,1,10,2,25,2,5,0,1,0,1,61,49,1,0,5,4,1,0,0,0,23,17,6,2,3,5,5,4,8,5,2,3,1,1,1,1,0,0,1,1,2,5,1,3,5,0,5,13,12,0,0,0,1,W
Match date: 14-01-2023 / 19:30,BOURNEMOUTH,2,51,7,2,3,2,7,1,21,2,9,0,1,0,0,39,51,1,1,3,1,2,3,1,2,13,4,9,4,5,3,4,3,4,9,3,6,0,0,1,0,0,0,0,2,1,2,1,1,3,1,2,8,13,13,0,1,0,L
Match date: 15-01-2023 / 16:00,CHELSEA,1,65,15,5,5,5,18,3,12,4,10,0,2,0,1,73,65,3,2,11,9,2,0,0,0,23,16,7,2,8,10,8,6,9,6,1,5,0,1,2,1,0,0,3,1,2,3,1,4,4,0,4,6,6,0,1,0,2,W
Match date: 15-01-2023 / 16:00,CRYSTAL PALACE,2,35,10,5,2,3,13,1,24,4,17,0,5,0,0,27,35,0,3,7,4,3,0,0,0,20,7,13,9,8,4,9,4,6,7,3,4,0,0,1,0,0,0,1,3,1,1,3,2,4,1,3,10,14,2,0,2,3,L
Match date: 15-01-2023 / 16:00,NEWCASTLE,1,63,21,5,7,9,17,2,19,0,6,0,1,0,1,57,63,5,4,10,7,3,2,1,1,25,15,10,3,3,8,9,11,10,4,2,2,0,1,1,1,0,0,0,0,2,5,4,1,4,0,4,9,10,2,0,0,1,W
Match date: 15-01-2023 / 16:00,FULHAM,2,37,4,0,3,1,8,3,19,4,14,0,3,0,0,43,37,1,0,5,2,3,2,1,1,15,9,6,6,8,4,4,2,2,11,3,8,0,0,2,1,0,0,4,0,1,2,0,0,5,0,5,13,6,0,1,0,3,L
Match date: 15-01-2023 / 18:30,TOTTENHAM,1,51,17,7,4,6,17,1,28,4,16,0,4,0,0,44,51,1,5,4,1,3,2,1,1,18,5,13,8,8,5,12,4,13,4,2,2,0,0,1,0,0,0,2,2,1,3,2,5,5,0,5,10,18,0,0,2,2,L
Match date: 15-01-2023 / 18:30,ARSENAL,2,49,14,5,6,3,17,2,19,7,15,0,2,1,0,56,49,2,1,3,2,1,1,0,1,14,10,4,5,10,9,8,9,5,3,0,3,2,0,0,2,0,0,2,5,4,2,3,2,4,0,4,8,11,0,0,0,2,W
Match date: 18-01-2023 / 22:00,CRYSTAL PALACE,1,40,8,5,2,1,11,0,22,2,9,0,1,0,0,38,40,1,0,3,1,2,4,3,1,14,4,10,3,6,4,7,2,6,9,6,3,0,1,0,0,0,0,1,1,0,2,1,4,4,0,4,10,12,0,3,0,1,D
Match date: 18-01-2023 / 22:00,MANCHESTER UTD,2,60,13,3,7,3,9,1,17,4,10,0,2,1,0,62,60,2,1,3,1,2,4,3,1,13,10,3,3,7,3,6,9,4,3,1,2,1,0,1,0,0,0,1,3,5,2,2,1,3,0,3,10,7,3,0,0,2,D
Match date: 19-01-2023 / 22:00,MANCHESTER CITY,1,58,16,6,5,5,15,0,22,1,10,0,1,0,2,61,58,3,2,8,7,1,4,3,1,22,15,7,6,4,11,4,7,9,4,2,2,0,4,0,0,0,0,1,0,2,3,2,4,3,0,3,7,15,0,0,1,0,W
Match date: 19-01-2023 / 22:00,TOTTENHAM,2,42,9,3,4,2,10,1,16,2,14,0,2,0,0,39,42,1,1,3,3,0,5,2,3,12,6,6,10,4,6,4,6,3,8,4,4,2,0,1,0,0,0,2,0,2,2,3,0,4,0,4,8,8,0,1,2,0,L
Match date: 21-01-2023 / 14:30,LIVERPOOL,1,48,11,3,5,3,10,5,19,2,16,0,3,0,0,50,48,0,3,5,2,3,3,0,3,14,2,12,10,6,5,5,4,7,12,6,6,0,0,3,2,0,0,2,0,3,2,1,2,5,0,5,9,10,0,0,1,2,D
Match date: 21-01-2023 / 14:30,CHELSEA,2,52,11,2,6,3,21,1,18,3,9,0,1,0,0,50,52,0,3,5,3,2,0,0,0,9,5,4,4,5,13,8,6,5,9,4,5,0,0,1,0,0,0,1,2,4,2,2,0,4,0,4,5,13,3,1,0,1,D
Match date: 21-01-2023 / 17:00,BOURNEMOUTH,1,42,16,4,7,5,9,2,19,4,10,0,1,1,0,46,42,1,4,4,2,2,4,3,1,17,10,7,4,6,4,5,9,7,11,7,4,1,0,0,2,0,0,2,2,4,3,4,0,2,0,2,7,12,1,2,1,0,D
Match date: 21-01-2023 / 17:00,NOTTINGHAM FOREST,2,58,20,5,9,6,12,2,17,3,7,0,2,0,1,54,58,3,3,6,3,3,1,0,1,33,15,18,3,4,4,8,9,11,8,5,3,0,1,1,1,0,0,3,0,4,5,2,3,5,1,4,10,7,1,1,1,1,D
Match date: 21-01-2023 / 17:00,WEST HAM,1,32,11,4,5,2,8,1,14,2,9,0,1,1,0,40,32,1,1,4,3,1,7,3,4,12,9,3,1,8,3,5,6,5,4,2,2,2,0,0,1,0,0,0,2,2,3,3,1,4,0,4,11,3,3,0,0,1,W
Match date: 21-01-2023 / 17:00,EVERTON,2,68,5,2,2,1,10,2,12,2,6,0,1,0,0,60,68,1,0,9,5,4,2,2,0,34,12,22,2,4,1,9,2,3,5,1,4,0,0,1,1,0,0,1,1,1,1,0,2,2,0,2,7,5,0,0,0,1,L
Match date: 21-01-2023 / 17:00,LEICESTER,1,36,7,2,1,4,11,0,18,2,9,0,0,0,0,41,36,2,2,5,3,2,2,1,1,7,4,3,6,3,3,8,4,3,10,3,7,1,1,0,0,0,0,0,2,1,0,1,1,3,1,2,7,11,1,0,0,0,D
Match date: 21-01-2023 / 17:00,BRIGHTON,2,64,12,4,5,3,9,2,22,0,9,0,1,1,1,59,64,2,1,6,4,2,0,0,0,16,8,8,2,7,6,3,5,7,1,1,0,1,1,1,1,0,0,0,0,2,3,1,3,3,1,2,5,17,3,0,0,1,D
Match date: 21-01-2023 / 17:00,SOUTHAMPTON,1,34,8,5,2,1,9,3,16,4,19,0,1,0,0,29,34,0,1,2,1,1,0,0,0,14,4,10,8,11,6,3,1,7,9,6,3,0,0,1,2,0,0,3,1,0,2,1,4,5,0,5,3,13,4,0,1,0,L
Match date: 21-01-2023 / 17:00,ASTON VILLA,2,66,16,5,8,3,22,0,21,5,9,0,2,0,1,71,66,1,2,2,1,1,0,0,0,14,10,4,6,3,9,13,9,7,2,0,2,0,1,0,0,0,0,1,4,5,3,3,2,3,0,3,11,10,0,0,0,2,W
